goods_discount_quote,goods_name,goods_p_price,gifts,goods_image_path,venderid,goods_discount,goods_price,goods_ad,goods_promotion,goods_brand_id,goods_id,goods_image_url
0,技嘉(GIGABYTE)GeForce RTX 2080 GAMING OC 1830-1815MHz 14000MHz 256bit GDDR6 8G 电竞游戏显卡,6599.00,,full/f416e9d3d421a8fa97a79b5c421b20f974212173.jpg,1000000297,0,6599.00,"【迎双旦4000-300】2080小黑,朝生碧海,逆水成寒,电竞“吃鸡”显卡",满4000元减300元,8900,8945581,https://img11.360buyimg.com/n7/jfs/t29137/327/855216399/203115/5f7d5b29/5bff992fN07f4c399.jpg
0,七彩虹(Colorful)iGame1060烈焰战神U-6GD5 1556-1771/8008MHz6G192bit吃鸡显卡,1749.00,,full/ae7df2c73821d446e5ee69ef9017a4a4905039c0.jpg,1000000267,0,1749.00,6G显卡小机箱福音，小巧更具实力，全视频接口，一键超频工作、游戏轻松搞定,每满1000元，可减50元现金,22215,3455746,https://img11.360buyimg.com/n7/jfs/t7834/112/1437436471/88745/410cbde6/599d2123Nb5f6ea66.jpg
1000,迪兰（Dataland）RX 580 8G X-Serial 战神 1340-1380/8000MHz 8GB/256-bit GDDR5 DX12 VR游戏显卡 吃鸡显卡,1549.00,,full/b49c68e3cf58018cd4e708a70123abc407d18b2c.jpg,1000005539,50,1549.00,高频率非公版，更强的X-serial显卡，全镀镍四热管散热器，游戏VR全不惧,满1000元减100元,6094,5206866,https://img11.360buyimg.com/n7/jfs/t8758/198/2356402528/315452/22560723/59cb6026N2b6efb51.jpg
0,微星（MSI）GeForce GTX 1050 Ti GAMING X 4G 1290-1493MHZ 128BIT GDDR5 PCI-E 3.0 旗舰红龙 吃鸡显卡,1199.00,,full/62265e38a8c9f10a04c7a38c700783acbdf7cc87.jpg,1000000266,0,1199.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",,17443,3977224,https://img14.360buyimg.com/n7/jfs/t9322/52/226672575/470550/1fa29e4d/59a3cf11N22e355fd.jpg
0,技嘉(GIGABYTE)GeForce RTX 2070 WINDFORCE 1620 14000MHz 256bit GDDR6 8G 电竞游戏显卡,4099.00,,full/8633ab27b4171c32b53ae7103b146ce4b6adc6cf.jpg,1000000297,0,4099.00,正逆转气流导向设计!全覆盖散热模组!软磁粉复合式热管强力导热!1670W色RGB流光溢彩，带来畅爽游戏体验！,每满1000元，可减50元现金,8900,100001022915,https://img10.360buyimg.com/n7/jfs/t27046/214/2383753710/187868/1e33f048/5bff96f1N7d2f0ed6.jpg
0,技嘉(GIGABYTE)GeForce GTX 1060 G1 Gaming D5X 6G显卡,2099.00,,full/ead77341b16f190f097016199d456a6a51d77cd9.jpg,1000000297,0,2199.00,"【迎双旦2000-100】G1经典，三风扇,朝生碧海逆水成寒,电竞“吃鸡”显卡",满1000元减100元,8900,100001396955,https://img10.360buyimg.com/n7/jfs/t26659/50/1448314355/91436/7c6c315f/5be3f7e8N4bf6c180.jpg
3000,微星（MSI）GeForce RTX 2070 GAMING Z 8G 1410-1830MHz 256BIT GDDR6 双风魔龙 电竞游戏独立显卡,5099.00,,full/099a3528c8fb84518e4e7e7252b7cc5c17378069.jpg,1000000266,400,5099.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",,17443,100001057406,https://img11.360buyimg.com/n7/jfs/t25957/1/2004839785/260500/1f0610df/5bc05d05Nf87b7392.jpg
3000,微星（MSI）GeForce RTX 2070 8G DUKE OC 暗黑龙爵 1410-1755MHz 256BIT GDDR6 三风黑龙 电竞游戏显卡,4599.00,,full/45aec4b33e682adb497ec13bbd36cad54153542b.jpg,1000000266,400,4599.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",每满1000元，可减50元现金,17443,100001057364,https://img14.360buyimg.com/n7/jfs/t26404/49/1082096505/235215/70fd0c51/5bc05d31N132dd31d.jpg
0,索泰（ZOTAC）GeForce GTX1070 X-GAMING OC吃鸡显卡/游戏电竞台式机独立显卡 8GD5/1582-1771/8008MHz,2799.00,,full/26ce89239bff343183e03dd7644e184fd1be1194.jpg,1000002556,0,2799.00,"【游戏独显,优选索泰京东自营GTX吃鸡显卡!】酷炫信仰灯!三风扇壕用料!轻松玩转3A大作!",,16546,3282626,https://img11.360buyimg.com/n7/jfs/t7039/234/2137998881/175567/61d95867/5989712bNbe7f718a.jpg
0,七彩虹（Colorful）iGame GeForce RTX 2080 AD Special OC GDDR6 8G电竞游戏显卡,5799.00,,full/5a77d3b7e640cff4f7da6cc4c129cb9cb2aa9e14.jpg,1000000267,0,5799.00,,,22215,100001620328,https://img13.360buyimg.com/n7/jfs/t28357/22/782097113/118112/c7bbebe/5bfd00f3Nd5a136b9.jpg
